LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,456
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 14:13:17,0                 
Time,Ampl
7.2e-005,0
7.6e-005,0
8e-005,0
8.4e-005,0
8.8e-005,0
9.2e-005,0
9.6e-005,0
0.0001,0
0.000104,0
0.000108,0
0.000112,0
0.000116,0
0.00012,0
0.000124,0
0.000128,0
0.000132,0
0.000136,0
0.00014,0
0.000144,0
0.000148,0
0.000152,0
0.000156,0
0.00016,0
0.000164,0
0.000168,0
0.000172,0
0.000176,0
0.00018,0
0.000184,0
0.000188,0
0.000192,0
0.000196,0
0.0002,0
0.000204,0
0.000208,0
0.000212,0
0.000216,0
0.00022,0
0.000224,0
0.000228,0
0.000232,0
0.000236,1
0.00024,2
0.000244,5
0.000248,4
0.000252,12
0.000256,0
0.00026,13
0.000264,18
0.000268,31
0.000272,43
0.000276,48
0.00028,63
0.000284,96
0.000288,92
0.000292,105
0.000296,0
0.0003,127
0.000304,139
0.000308,157
0.000312,166
0.000316,200
0.00032,250
0.000324,277
0.000328,324
0.000332,369
0.000336,0
0.00034,489
0.000344,531
0.000348,532
0.000352,573
0.000356,630
0.00036,608
0.000364,600
0.000368,591
0.000372,620
0.000376,0
0.00038,603
0.000384,665
0.000388,684
0.000392,782
0.000396,710
0.0004,670
0.000404,749
0.000408,704
0.000412,712
0.000416,0
0.00042,596
0.000424,594
0.000428,635
0.000432,581
0.000436,551
0.00044,505
0.000444,488
0.000448,412
0.000452,329
0.000456,0
0.00046,321
0.000464,329
0.000468,288
0.000472,232
0.000476,195
0.00048,187
0.000484,176
0.000488,140
0.000492,161
0.000496,0
0.0005,152
0.000504,136
0.000508,109
0.000512,137
0.000516,126
0.00052,110
0.000524,85
0.000528,104
0.000532,85
0.000536,0
0.00054,84
0.000544,85
0.000548,67
0.000552,82
0.000556,70
0.00056,59
0.000564,60
0.000568,64
0.000572,50
0.000576,0
0.00058,45
0.000584,31
0.000588,35
0.000592,30
0.000596,31
0.0006,20
0.000604,16
0.000608,11
