LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,456
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 14:18:27,0                 
Time,Ampl
9.2e-005,0
9.6e-005,0
0.0001,0
0.000104,0
0.000108,0
0.000112,0
0.000116,0
0.00012,0
0.000124,0
0.000128,0
0.000132,0
0.000136,0
0.00014,0
0.000144,0
0.000148,0
0.000152,0
0.000156,0
0.00016,0
0.000164,0
0.000168,0
0.000172,0
0.000176,0
0.00018,0
0.000184,0
0.000188,0
0.000192,0
0.000196,0
0.0002,0
0.000204,0
0.000208,0
0.000212,0
0.000216,0
0.00022,0
0.000224,1
0.000228,2
0.000232,2
0.000236,13
0.00024,18
0.000244,34
0.000248,58
0.000252,87
0.000256,0
0.00026,104
0.000264,130
0.000268,167
0.000272,223
0.000276,244
0.00028,282
0.000284,357
0.000288,350
0.000292,418
0.000296,0
0.0003,481
0.000304,468
0.000308,526
0.000312,510
0.000316,552
0.00032,709
0.000324,681
0.000328,736
0.000332,769
0.000336,0
0.00034,935
0.000344,928
0.000348,906
0.000352,865
0.000356,854
0.00036,850
0.000364,716
0.000368,680
0.000372,657
0.000376,0
0.00038,514
0.000384,588
0.000388,587
0.000392,614
0.000396,508
0.0004,437
0.000404,477
0.000408,467
0.000412,372
0.000416,0
0.00042,311
0.000424,330
0.000428,299
0.000432,274
0.000436,253
0.00044,208
0.000444,211
0.000448,177
0.000452,154
0.000456,0
0.00046,136
0.000464,115
0.000468,106
0.000472,95
0.000476,103
0.00048,90
0.000484,73
0.000488,67
0.000492,67
0.000496,0
0.0005,85
0.000504,71
0.000508,63
0.000512,49
0.000516,45
0.00052,51
0.000524,49
0.000528,32
0.000532,29
0.000536,0
0.00054,34
0.000544,24
0.000548,29
0.000552,15
0.000556,22
0.00056,17
0.000564,16
0.000568,13
0.000572,20
0.000576,0
0.00058,17
0.000584,19
0.000588,11
0.000592,12
0.000596,8
0.0006,4
0.000604,8
0.000608,9
0.000612,19
0.000616,0
0.00062,16
0.000624,14
0.000628,5
0.000632,12
0.000636,21
0.00064,14
0.000644,14
0.000648,12
0.000652,20
0.000656,0
0.00066,31
0.000664,36
0.000668,20
0.000672,34
0.000676,28
0.00068,47
0.000684,41
0.000688,48
0.000692,48
0.000696,0
0.0007,46
0.000704,69
0.000708,69
0.000712,90
0.000716,89
0.00072,80
0.000724,93
0.000728,122
0.000732,98
0.000736,0
0.00074,116
0.000744,90
0.000748,129
0.000752,132
0.000756,144
0.00076,92
0.000764,136
0.000768,142
0.000772,122
0.000776,0
0.00078,150
0.000784,100
0.000788,112
0.000792,108
0.000796,116
0.0008,116
0.000804,98
0.000808,108
0.000812,110
0.000816,0
0.00082,103
0.000824,104
0.000828,89
0.000832,77
0.000836,70
0.00084,72
0.000844,61
0.000848,59
0.000852,60
0.000856,0
0.00086,47
0.000864,61
0.000868,32
0.000872,46
0.000876,48
0.00088,31
0.000884,41
0.000888,36
0.000892,45
0.000896,0
0.0009,22
0.000904,21
0.000908,25
0.000912,15
0.000916,16
0.00092,22
0.000924,19
0.000928,20
0.000932,19
0.000936,0
0.00094,19
0.000944,12
0.000948,18
0.000952,10
0.000956,15
0.00096,21
0.000964,7
0.000968,7
0.000972,11
0.000976,0
0.00098,10
0.000984,9
0.000988,9
0.000992,6
0.000996,8
0.001,8
0.001004,5
0.001008,8
0.001012,6
0.001016,0
0.00102,5
0.001024,2
0.001028,4
0.001032,4
0.001036,5
0.00104,6
0.001044,4
0.001048,1
0.001052,7
0.001056,0
0.00106,7
0.001064,1
0.001068,5
0.001072,6
0.001076,2
0.00108,16
0.001084,9
0.001088,9
0.001092,18
0.001096,0
0.0011,9
0.001104,8
0.001108,11
0.001112,8
0.001116,16
0.00112,15
0.001124,19
0.001128,22
0.001132,18
0.001136,0
0.00114,14
0.001144,19
0.001148,20
0.001152,8
0.001156,11
0.00116,19
0.001164,17
0.001168,20
0.001172,16
0.001176,0
0.00118,14
0.001184,24
0.001188,20
0.001192,29
0.001196,21
0.0012,26
0.001204,21
0.001208,24
0.001212,20
0.001216,0
0.00122,29
0.001224,24
0.001228,15
0.001232,31
0.001236,20
0.00124,18
0.001244,29
0.001248,16
0.001252,16
0.001256,0
0.00126,18
0.001264,21
0.001268,19
0.001272,17
0.001276,6
0.00128,12
0.001284,24
0.001288,12
0.001292,14
0.001296,0
0.0013,10
0.001304,12
0.001308,12
0.001312,16
0.001316,15
0.00132,7
0.001324,16
0.001328,11
0.001332,7
0.001336,0
0.00134,5
0.001344,8
0.001348,6
0.001352,5
0.001356,6
0.00136,3
0.001364,7
0.001368,5
0.001372,4
0.001376,0
0.00138,5
0.001384,4
0.001388,10
0.001392,5
0.001396,3
0.0014,6
0.001404,6
0.001408,4
0.001412,4
0.001416,0
0.00142,2
0.001424,1
0.001428,4
0.001432,2
0.001436,0
0.00144,3
0.001444,0
0.001448,2
0.001452,0
0.001456,0
0.00146,1
0.001464,1
0.001468,1
0.001472,1
0.001476,6
0.00148,1
0.001484,3
0.001488,1
0.001492,2
0.001496,0
0.0015,1
0.001504,1
0.001508,2
0.001512,4
0.001516,4
0.00152,3
0.001524,1
0.001528,3
0.001532,4
0.001536,0
0.00154,3
0.001544,6
0.001548,2
0.001552,2
0.001556,5
0.00156,4
0.001564,4
0.001568,2
0.001572,0
0.001576,0
0.00158,2
0.001584,5
0.001588,3
0.001592,1
0.001596,3
0.0016,4
0.001604,1
0.001608,4
0.001612,4
0.001616,0
0.00162,6
0.001624,4
0.001628,3
0.001632,5
0.001636,6
0.00164,6
0.001644,5
0.001648,3
0.001652,7
0.001656,0
