LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,456
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 14:00:27,0                 
Time,Ampl
-6e-005,7
-5e-005,2
-4e-005,0
-3e-005,1
-2e-005,1
-1e-005,0
3.388e-021,1
1e-005,0
2e-005,3
3e-005,2
4e-005,8
5e-005,12
6e-005,15
7e-005,18
8e-005,14
9e-005,5
0.0001,8
0.00011,3
0.00012,5
0.00013,3
0.00014,5
0.00015,3
0.00016,3
0.00017,10
0.00018,14
0.00019,10
0.0002,7
0.00021,21
0.00022,41
0.00023,47
0.00024,60
0.00025,75
0.00026,139
0.00027,174
0.00028,222
0.00029,237
0.0003,465
0.00031,380
0.00032,503
0.00033,621
0.00034,1198
0.00035,910
0.00036,930
0.00037,874
0.00038,1388
0.00039,912
0.0004,828
0.00041,902
0.00042,1087
0.00043,697
0.00044,557
0.00045,448
0.00046,613
0.00047,329
0.00048,256
0.00049,239
0.0005,396
0.00051,215
0.00052,234
0.00053,180
0.00054,315
0.00055,199
0.00056,173
0.00057,183
0.00058,191
0.00059,121
0.0006,108
0.00061,99
0.00062,122
0.00063,79
0.00064,66
0.00065,55
0.00066,79
0.00067,41
0.00068,36
0.00069,57
0.0007,56
0.00071,29
0.00072,31
0.00073,42
0.00074,36
0.00075,37
0.00076,31
0.00077,22
0.00078,30
0.00079,25
0.0008,29
0.00081,29
0.00082,63
0.00083,52
0.00084,45
0.00085,58
0.00086,90
0.00087,85
0.00088,79
0.00089,119
0.0009,179
0.00091,150
0.00092,155
0.00093,167
0.00094,292
0.00095,202
0.00096,229
0.00097,244
0.00098,363
0.00099,220
0.001,256
0.00101,210
0.00102,308
0.00103,200
0.00104,171
0.00105,150
0.00106,199
0.00107,117
0.00108,127
0.00109,120
0.0011,149
0.00111,105
0.00112,103
0.00113,79
0.00114,128
0.00115,69
0.00116,78
0.00117,65
0.00118,94
0.00119,59
0.0012,53
0.00121,51
0.00122,74
0.00123,53
0.00124,40
0.00125,46
0.00126,74
0.00127,24
0.00128,26
0.00129,34
0.0013,56
0.00131,32
0.00132,37
0.00133,31
0.00134,31
0.00135,25
0.00136,21
0.00137,22
0.00138,22
0.00139,26
0.0014,31
0.00141,29
0.00142,35
0.00143,20
0.00144,23
0.00145,24
0.00146,48
0.00147,38
0.00148,41
0.00149,38
0.0015,72
0.00151,56
0.00152,50
0.00153,54
0.00154,84
0.00155,64
0.00156,66
0.00157,51
0.00158,113
0.00159,66
0.0016,86
0.00161,79
0.00162,95
0.00163,61
0.00164,65
0.00165,71
0.00166,70
0.00167,55
0.00168,62
0.00169,47
0.0017,68
0.00171,36
0.00172,48
0.00173,44
0.00174,52
0.00175,38
0.00176,38
0.00177,37
0.00178,67
0.00179,35
0.0018,36
0.00181,30
0.00182,38
0.00183,25
0.00184,20
0.00185,25
0.00186,45
0.00187,43
0.00188,28
0.00189,23
0.0019,30
0.00191,19
0.00192,16
0.00193,20
0.00194,28
0.00195,20
0.00196,14
0.00197,18
0.00198,22
0.00199,15
0.002,16
0.00201,15
0.00202,18
0.00203,19
0.00204,21
0.00205,9
0.00206,20
0.00207,23
0.00208,18
0.00209,18
0.0021,32
0.00211,17
0.00212,22
0.00213,12
0.00214,23
0.00215,27
0.00216,31
0.00217,31
0.00218,48
0.00219,25
0.0022,28
0.00221,30
0.00222,54
0.00223,19
0.00224,23
0.00225,23
0.00226,46
0.00227,30
0.00228,22
0.00229,27
0.0023,36
0.00231,14
0.00232,14
0.00233,20
0.00234,23
0.00235,18
0.00236,13
0.00237,20
0.00238,29
0.00239,15
0.0024,17
0.00241,13
0.00242,16
0.00243,12
0.00244,18
0.00245,13
0.00246,19
0.00247,9
0.00248,9
0.00249,13
0.0025,13
0.00251,8
0.00252,16
0.00253,11
0.00254,20
0.00255,6
0.00256,12
0.00257,6
0.00258,11
0.00259,8
0.0026,8
0.00261,8
0.00262,17
0.00263,6
0.00264,5
0.00265,12
0.00266,17
0.00267,11
0.00268,18
0.00269,10
0.0027,20
0.00271,7
0.00272,10
0.00273,6
0.00274,14
0.00275,14
0.00276,7
0.00277,12
0.00278,15
0.00279,7
0.0028,6
0.00281,13
