LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,456
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 14:05:12,0                 
Time,Ampl
-0.00018,0
-0.00017,0
-0.00016,0
-0.00015,0
-0.00014,0
-0.00013,0
-0.00012,0
-0.00011,0
-0.0001,0
-9e-005,0
-8e-005,0
-7e-005,0
-6e-005,0
-5e-005,0
-4e-005,0
-3e-005,0
-2e-005,0
-1e-005,0
1.118e-019,0
1e-005,0
2e-005,0
3e-005,0
4e-005,0
5e-005,0
6e-005,0
7e-005,0
8e-005,0
9e-005,0
0.0001,0
0.00011,0
0.00012,0
0.00013,0
0.00014,0
0.00015,0
0.00016,0
0.00017,0
0.00018,0
0.00019,0
0.0002,0
0.00021,0
0.00022,0
0.00023,0
0.00024,1
0.00025,2
0.00026,3
0.00027,3
0.00028,6
0.00029,8
0.0003,21
0.00031,24
0.00032,54
0.00033,65
0.00034,219
0.00035,199
0.00036,278
0.00037,325
0.00038,620
0.00039,646
0.0004,694
0.00041,871
0.00042,1469
0.00043,1244
0.00044,1312
0.00045,1262
0.00046,1805
0.00047,1102
0.00048,1029
0.00049,826
0.0005,1185
0.00051,566
0.00052,497
0.00053,413
0.00054,521
0.00055,288
0.00056,243
0.00057,296
0.00058,311
0.00059,195
0.0006,208
0.00061,171
0.00062,271
0.00063,144
0.00064,138
0.00065,111
0.00066,155
0.00067,85
0.00068,58
0.00069,56
0.0007,79
0.00071,48
0.00072,43
0.00073,34
0.00074,39
0.00075,25
0.00076,22
0.00077,24
0.00078,41
0.00079,15
0.0008,16
0.00081,28
0.00082,52
0.00083,25
0.00084,39
0.00085,34
0.00086,59
0.00087,60
0.00088,54
0.00089,74
0.0009,150
0.00091,116
0.00092,161
0.00093,129
0.00094,249
0.00095,189
0.00096,209
0.00097,208
0.00098,396
0.00099,251
0.001,243
0.00101,250
0.00102,391
0.00103,223
0.00104,194
0.00105,213
0.00106,236
0.00107,135
0.00108,126
0.00109,109
0.0011,204
0.00111,111
0.00112,104
0.00113,94
0.00114,140
0.00115,74
0.00116,71
0.00117,80
0.00118,84
0.00119,59
0.0012,61
0.00121,46
0.00122,69
0.00123,42
0.00124,28
0.00125,31
0.00126,51
0.00127,22
0.00128,27
0.00129,21
0.0013,43
0.00131,24
0.00132,25
0.00133,17
0.00134,28
0.00135,18
0.00136,18
0.00137,20
0.00138,30
0.00139,20
0.0014,23
0.00141,18
0.00142,40
0.00143,32
0.00144,33
0.00145,36
0.00146,72
0.00147,40
0.00148,45
0.00149,51
0.0015,80
0.00151,77
0.00152,59
0.00153,66
0.00154,93
0.00155,64
0.00156,56
0.00157,65
0.00158,90
0.00159,54
0.0016,69
0.00161,56
0.00162,87
0.00163,44
0.00164,42
0.00165,32
0.00166,64
0.00167,48
0.00168,36
0.00169,34
0.0017,48
0.00171,31
0.00172,25
0.00173,23
0.00174,40
0.00175,24
0.00176,23
0.00177,26
0.00178,29
0.00179,20
0.0018,18
0.00181,11
0.00182,23
0.00183,8
0.00184,11
0.00185,12
0.00186,21
0.00187,10
0.00188,8
0.00189,11
0.0019,18
0.00191,6
0.00192,18
0.00193,11
0.00194,18
0.00195,11
0.00196,6
0.00197,10
0.00198,21
0.00199,14
0.002,15
0.00201,10
0.00202,18
0.00203,22
0.00204,18
0.00205,19
0.00206,36
0.00207,20
0.00208,21
0.00209,25
0.0021,35
0.00211,17
0.00212,16
0.00213,14
0.00214,30
0.00215,10
0.00216,19
0.00217,29
0.00218,16
0.00219,19
0.0022,13
0.00221,23
0.00222,17
0.00223,19
0.00224,12
0.00225,12
0.00226,14
0.00227,11
0.00228,15
0.00229,17
0.0023,20
0.00231,4
0.00232,4
0.00233,9
0.00234,9
0.00235,8
0.00236,8
0.00237,4
0.00238,12
0.00239,3
0.0024,5
0.00241,5
0.00242,4
0.00243,5
0.00244,4
0.00245,3
0.00246,11
0.00247,2
0.00248,1
0.00249,3
0.0025,9
0.00251,4
0.00252,3
0.00253,7
0.00254,3
0.00255,5
0.00256,3
0.00257,4
0.00258,9
0.00259,4
0.0026,8
0.00261,6
0.00262,7
0.00263,13
0.00264,6
0.00265,6
0.00266,13
0.00267,9
0.00268,6
0.00269,5
0.0027,9
0.00271,10
0.00272,8
0.00273,5
0.00274,11
0.00275,5
0.00276,5
0.00277,6
0.00278,5
0.00279,3
0.0028,2
0.00281,8
0.00282,5
0.00283,2
0.00284,4
0.00285,5
0.00286,7
0.00287,4
0.00288,9
0.00289,1
0.0029,6
0.00291,0
0.00292,3
0.00293,2
0.00294,5
0.00295,3
0.00296,4
0.00297,1
0.00298,4
0.00299,1
0.003,2
0.00301,3
0.00302,2
0.00303,5
0.00304,5
0.00305,1
0.00306,6
0.00307,5
0.00308,0
0.00309,0
0.0031,3
0.00311,2
0.00312,3
0.00313,2
0.00314,3
0.00315,4
0.00316,2
0.00317,0
0.00318,3
0.00319,2
0.0032,2
0.00321,0
0.00322,4
0.00323,5
0.00324,7
0.00325,1
0.00326,4
0.00327,0
0.00328,3
0.00329,4
0.0033,2
0.00331,3
0.00332,2
0.00333,1
0.00334,5
0.00335,2
0.00336,2
0.00337,0
0.00338,3
0.00339,4
0.0034,1
0.00341,3
0.00342,4
0.00343,2
0.00344,4
0.00345,4
0.00346,1
0.00347,0
0.00348,2
0.00349,0
0.0035,0
0.00351,2
0.00352,0
0.00353,3
0.00354,3
0.00355,0
0.00356,0
0.00357,1
0.00358,1
0.00359,0
0.0036,1
0.00361,1
0.00362,0
0.00363,1
0.00364,0
0.00365,0
0.00366,1
0.00367,1
0.00368,1
0.00369,3
0.0037,0
0.00371,0
0.00372,1
0.00373,2
0.00374,2
0.00375,2
0.00376,4
0.00377,4
0.00378,0
0.00379,2
0.0038,1
0.00381,0
0.00382,1
0.00383,1
0.00384,1
0.00385,0
0.00386,0
0.00387,2
0.00388,1
0.00389,1
0.0039,3
0.00391,2
0.00392,1
0.00393,1
0.00394,1
0.00395,0
0.00396,0
0.00397,1
0.00398,0
0.00399,1
0.004,0
0.00401,1
0.00402,1
0.00403,0
0.00404,0
0.00405,0
0.00406,1
0.00407,1
0.00408,0
0.00409,0
0.0041,1
0.00411,1
0.00412,0
0.00413,0
0.00414,2
0.00415,0
0.00416,0
0.00417,0
0.00418,0
0.00419,0
0.0042,0
0.00421,1
0.00422,0
0.00423,1
0.00424,1
0.00425,1
0.00426,0
0.00427,1
0.00428,0
0.00429,0
0.0043,0
0.00431,0
0.00432,1
0.00433,0
0.00434,0
0.00435,0
0.00436,0
0.00437,0
