LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,456
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 14:09:01,0                 
Time,Ampl
-0.00087,0
-0.00086,0
-0.00085,0
-0.00084,0
-0.00083,0
-0.00082,0
-0.00081,0
-0.0008,0
-0.00079,0
-0.00078,0
-0.00077,0
-0.00076,0
-0.00075,0
-0.00074,0
-0.00073,0
-0.00072,0
-0.00071,0
-0.0007,0
-0.00069,0
-0.00068,0
-0.00067,0
-0.00066,0
-0.00065,0
-0.00064,0
-0.00063,0
-0.00062,0
-0.00061,0
-0.0006,0
-0.00059,0
-0.00058,0
-0.00057,0
-0.00056,0
-0.00055,0
-0.00054,0
-0.00053,0
-0.00052,0
-0.00051,0
-0.0005,0
-0.00049,0
-0.00048,0
-0.00047,0
-0.00046,0
-0.00045,0
-0.00044,0
-0.00043,0
-0.00042,0
-0.00041,0
-0.0004,0
-0.00039,0
-0.00038,0
-0.00037,0
-0.00036,0
-0.00035,0
-0.00034,0
-0.00033,0
-0.00032,0
-0.00031,0
-0.0003,0
-0.00029,0
-0.00028,0
-0.00027,0
-0.00026,0
-0.00025,0
-0.00024,0
-0.00023,0
-0.00022,0
-0.00021,0
-0.0002,0
-0.00019,0
-0.00018,0
-0.00017,0
-0.00016,0
-0.00015,0
-0.00014,0
-0.00013,0
-0.00012,0
-0.00011,0
-0.0001,0
-9e-005,0
-8e-005,0
-7e-005,0
-6e-005,0
-5e-005,0
-4e-005,0
-3e-005,0
-2e-005,0
-1e-005,0
1.711e-018,0
1e-005,0
2e-005,0
3e-005,0
4e-005,0
5e-005,0
6e-005,0
7e-005,0
8e-005,0
9e-005,0
0.0001,0
0.00011,0
0.00012,0
0.00013,0
0.00014,0
0.00015,0
0.00016,0
0.00017,0
0.00018,0
0.00019,0
0.0002,0
0.00021,0
0.00022,0
0.00023,0
0.00024,1
0.00025,0
0.00026,9
0.00027,22
0.00028,22
0.00029,48
0.0003,128
0.00031,110
0.00032,161
0.00033,237
0.00034,554
0.00035,529
0.00036,648
0.00037,737
0.00038,1305
0.00039,1126
0.0004,1165
0.00041,1361
0.00042,1830
0.00043,1430
0.00044,1411
0.00045,1197
0.00046,1571
0.00047,867
0.00048,719
0.00049,582
0.0005,730
0.00051,406
0.00052,343
0.00053,275
0.00054,329
0.00055,222
0.00056,179
0.00057,203
0.00058,239
0.00059,140
0.0006,107
