LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,500
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 14:56:57,0                 
Time,Ampl
-0.00058,0
-0.00057,0
-0.00056,0
-0.00055,0
-0.00054,0
-0.00053,0
-0.00052,0
-0.00051,0
-0.0005,0
-0.00049,0
-0.00048,0
-0.00047,0
-0.00046,0
-0.00045,0
-0.00044,0
-0.00043,0
-0.00042,0
-0.00041,0
-0.0004,0
-0.00039,0
-0.00038,0
-0.00037,0
-0.00036,0
-0.00035,0
-0.00034,0
-0.00033,0
-0.00032,0
-0.00031,0
-0.0003,0
-0.00029,0
-0.00028,0
-0.00027,0
-0.00026,0
-0.00025,0
-0.00024,0
-0.00023,0
-0.00022,0
-0.00021,0
-0.0002,0
-0.00019,0
-0.00018,0
-0.00017,0
-0.00016,0
-0.00015,0
-0.00014,0
-0.00013,0
-0.00012,0
-0.00011,0
-0.0001,0
-9e-005,0
-8e-005,0
-7e-005,0
-6e-005,0
-5e-005,0
-4e-005,0
-3e-005,0
-2e-005,0
-1e-005,0
1.06e-018,0
1e-005,0
2e-005,0
3e-005,0
4e-005,0
5e-005,0
6e-005,1
7e-005,1
8e-005,2
9e-005,0
0.0001,0
0.00011,0
0.00012,0
0.00013,0
0.00014,1
0.00015,1
0.00016,0
0.00017,0
0.00018,0
0.00019,2
0.0002,0
0.00021,0
0.00022,0
0.00023,0
0.00024,0
0.00025,0
0.00026,0
0.00027,1
0.00028,1
0.00029,0
0.0003,2
0.00031,1
0.00032,4
0.00033,5
0.00034,9
0.00035,8
0.00036,12
0.00037,27
0.00038,61
0.00039,58
0.0004,77
0.00041,98
0.00042,250
0.00043,252
0.00044,331
0.00045,348
0.00046,778
0.00047,635
0.00048,786
0.00049,1006
0.0005,1390
0.00051,1058
0.00052,1098
0.00053,1154
0.00054,1448
0.00055,848
0.00056,734
0.00057,725
0.00058,1053
0.00059,500
0.0006,389
0.00061,316
0.00062,437
0.00063,223
0.00064,243
0.00065,240
0.00066,295
0.00067,210
0.00068,167
0.00069,180
0.0007,296
0.00071,176
0.00072,142
0.00073,133
0.00074,196
0.00075,98
0.00076,89
0.00077,81
0.00078,106
0.00079,62
0.0008,77
0.00081,50
0.00082,71
0.00083,45
0.00084,44
0.00085,33
0.00086,46
0.00087,44
0.00088,46
0.00089,38
0.0009,54
0.00091,39
0.00092,36
0.00093,39
0.00094,56
0.00095,40
0.00096,46
0.00097,57
0.00098,106
0.00099,88
0.001,103
0.00101,105
0.00102,181
0.00103,118
0.00104,139
0.00105,177
0.00106,314
0.00107,222
0.00108,231
0.00109,270
0.0011,360
0.00111,236
0.00112,229
0.00113,240
0.00114,254
0.00115,186
0.00116,155
0.00117,129
0.00118,166
0.00119,100
0.0012,113
