LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,500
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 12:41:10,0                 
Time,Ampl
-0.000148,0
-0.000144,0
-0.00014,0
-0.000136,0
-0.000132,0
-0.000128,0
-0.000124,0
-0.00012,0
-0.000116,0
-0.000112,0
-0.000108,0
-0.000104,0
-0.0001,0
-9.6e-005,0
-9.2e-005,0
-8.8e-005,0
-8.4e-005,0
-8e-005,0
-7.6e-005,0
-7.2e-005,0
-6.8e-005,0
-6.4e-005,0
-6e-005,0
-5.6e-005,0
-5.2e-005,0
-4.8e-005,0
-4.4e-005,0
-4e-005,0
-3.6e-005,0
-3.2e-005,0
-2.8e-005,0
-2.4e-005,0
-2e-005,0
-1.6e-005,0
-1.2e-005,0
-8e-006,0
-4e-006,0
-1.287e-019,0
4e-006,0
8e-006,0
1.2e-005,0
1.6e-005,0
2e-005,0
2.4e-005,0
2.8e-005,0
3.2e-005,0
3.6e-005,0
4e-005,0
4.4e-005,0
4.8e-005,0
5.2e-005,0
5.6e-005,0
6e-005,0
6.4e-005,0
6.8e-005,0
7.2e-005,0
7.6e-005,0
8e-005,0
8.4e-005,0
8.8e-005,0
9.2e-005,0
9.6e-005,0
0.0001,0
0.000104,0
0.000108,0
0.000112,0
0.000116,0
0.00012,0
0.000124,0
0.000128,0
0.000132,0
0.000136,0
0.00014,0
0.000144,0
0.000148,0
0.000152,0
0.000156,0
0.00016,0
0.000164,0
0.000168,0
0.000172,0
0.000176,0
0.00018,0
0.000184,0
0.000188,0
0.000192,0
0.000196,0
0.0002,0
0.000204,0
0.000208,0
0.000212,0
0.000216,0
0.00022,0
0.000224,0
0.000228,0
0.000232,0
0.000236,0
0.00024,0
0.000244,0
0.000248,0
0.000252,0
0.000256,0
0.00026,0
0.000264,0
0.000268,0
0.000272,1
0.000276,0
0.00028,1
0.000284,3
0.000288,6
0.000292,10
0.000296,0
0.0003,10
0.000304,14
0.000308,28
0.000312,44
0.000316,59
0.00032,76
0.000324,128
0.000328,180
0.000332,221
0.000336,0
0.00034,238
0.000344,338
0.000348,367
0.000352,437
0.000356,462
0.00036,491
0.000364,604
0.000368,562
0.000372,696
0.000376,0
0.00038,674
0.000384,678
0.000388,684
0.000392,628
0.000396,732
0.0004,708
0.000404,792
0.000408,725
0.000412,687
0.000416,0
0.00042,737
0.000424,683
0.000428,691
0.000432,725
0.000436,660
0.00044,665
0.000444,543
0.000448,540
0.000452,499
0.000456,0
0.00046,484
0.000464,414
0.000468,469
0.000472,394
0.000476,384
0.00048,339
0.000484,284
0.000488,277
0.000492,271
0.000496,0
0.0005,224
0.000504,270
0.000508,207
0.000512,195
0.000516,176
0.00052,166
0.000524,150
0.000528,142
0.000532,129
0.000536,0
0.00054,104
0.000544,117
0.000548,108
0.000552,85
0.000556,97
0.00056,96
0.000564,69
0.000568,65
0.000572,66
0.000576,0
0.00058,59
0.000584,51
0.000588,47
0.000592,54
0.000596,45
0.0006,57
0.000604,45
0.000608,36
0.000612,34
0.000616,0
0.00062,42
0.000624,32
0.000628,27
0.000632,20
0.000636,29
0.00064,26
