LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,500
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 12:44:37,0                 
Time,Ampl
0.000108,0
0.000112,0
0.000116,0
0.00012,0
0.000124,0
0.000128,0
0.000132,0
0.000136,0
0.00014,0
0.000144,0
0.000148,0
0.000152,0
0.000156,0
0.00016,0
0.000164,0
0.000168,0
0.000172,0
0.000176,0
0.00018,0
0.000184,0
0.000188,0
0.000192,0
0.000196,0
0.0002,0
0.000204,0
0.000208,0
0.000212,0
0.000216,0
0.00022,0
0.000224,0
0.000228,0
0.000232,0
0.000236,0
0.00024,0
0.000244,0
0.000248,0
0.000252,0
0.000256,0
0.00026,0
0.000264,0
0.000268,0
0.000272,0
0.000276,0
0.00028,0
0.000284,0
0.000288,1
0.000292,1
0.000296,0
0.0003,3
0.000304,4
0.000308,7
0.000312,6
0.000316,15
0.00032,14
0.000324,32
0.000328,37
0.000332,41
0.000336,0
0.00034,70
0.000344,99
0.000348,117
0.000352,137
0.000356,155
0.00036,165
0.000364,248
0.000368,241
0.000372,291
0.000376,0
0.00038,326
0.000384,365
0.000388,367
0.000392,383
0.000396,405
0.0004,431
0.000404,485
0.000408,537
0.000412,556
0.000416,0
0.00042,625
0.000424,540
0.000428,649
0.000432,643
0.000436,644
0.00044,629
0.000444,612
0.000448,674
0.000452,621
0.000456,0
0.00046,598
0.000464,608
0.000468,614
0.000472,599
0.000476,564
0.00048,565
0.000484,522
0.000488,502
0.000492,501
0.000496,0
0.0005,465
0.000504,509
0.000508,426
0.000512,362
0.000516,322
0.00052,347
0.000524,283
0.000528,267
0.000532,274
0.000536,0
0.00054,221
0.000544,218
0.000548,174
0.000552,162
0.000556,176
0.00056,142
0.000564,132
0.000568,150
0.000572,128
0.000576,0
0.00058,119
0.000584,97
0.000588,114
0.000592,96
0.000596,84
0.0006,83
0.000604,92
0.000608,89
0.000612,72
0.000616,0
0.00062,68
0.000624,71
0.000628,63
0.000632,61
0.000636,56
0.00064,67
0.000644,57
0.000648,49
0.000652,48
0.000656,0
0.00066,48
0.000664,50
0.000668,41
0.000672,45
0.000676,43
0.00068,34
0.000684,36
0.000688,30
0.000692,33
0.000696,0
0.0007,29
0.000704,26
0.000708,35
0.000712,23
0.000716,21
0.00072,25
0.000724,23
0.000728,23
0.000732,13
0.000736,0
0.00074,19
0.000744,12
0.000748,31
0.000752,15
0.000756,16
0.00076,21
0.000764,22
0.000768,23
0.000772,20
0.000776,0
0.00078,34
0.000784,30
0.000788,23
0.000792,30
0.000796,31
0.0008,47
0.000804,41
0.000808,37
0.000812,39
0.000816,0
0.00082,54
0.000824,58
