LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,431
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 12:57:52,0                 
Time,Ampl
-0.00098,0
-0.00096,0
-0.00094,0
-0.00092,0
-0.0009,0
-0.00088,0
-0.00086,0
-0.00084,0
-0.00082,0
-0.0008,0
-0.00078,0
-0.00076,0
-0.00074,0
-0.00072,0
-0.0007,0
-0.00068,0
-0.00066,0
-0.00064,0
-0.00062,0
-0.0006,0
-0.00058,0
-0.00056,0
-0.00054,0
-0.00052,0
-0.0005,0
-0.00048,0
-0.00046,0
-0.00044,0
-0.00042,0
-0.0004,0
-0.00038,0
-0.00036,0
-0.00034,0
-0.00032,0
-0.0003,0
-0.00028,0
-0.00026,0
-0.00024,0
-0.00022,0
-0.0002,0
-0.00018,0
-0.00016,0
-0.00014,0
-0.00012,0
-0.0001,0
-8e-005,0
-6e-005,0
-4e-005,0
-2e-005,0
1.687e-018,0
2e-005,0
4e-005,0
6e-005,0
8e-005,0
0.0001,0
0.00012,0
0.00014,0
0.00016,0
0.00018,0
0.0002,0
0.00022,0
0.00024,0
0.00026,0
0.00028,0
0.0003,1
0.00032,2
0.00034,15
0.00036,36
0.00038,82
0.0004,137
0.00042,368
0.00044,503
0.00046,1029
0.00048,1210
0.0005,1942
0.00052,1813
0.00054,2395
0.00056,1833
0.00058,1744
0.0006,1111
0.00062,973
0.00064,605
0.00066,563
0.00068,384
0.0007,447
0.00072,310
0.00074,427
0.00076,266
0.00078,288
0.0008,186
0.00082,222
0.00084,139
0.00086,124
0.00088,77
0.0009,96
0.00092,76
0.00094,78
0.00096,83
0.00098,101
0.001,107
0.00102,197
0.00104,218
0.00106,362
0.00108,380
0.0011,485
0.00112,466
0.00114,451
0.00116,369
0.00118,375
0.0012,271
0.00122,278
0.00124,202
0.00126,237
0.00128,190
0.0013,229
0.00132,162
0.00134,192
0.00136,137
0.00138,141
0.0014,110
0.00142,119
0.00144,80
0.00146,88
0.00148,55
0.0015,81
0.00152,54
0.00154,72
0.00156,59
0.00158,72
0.0016,85
0.00162,101
0.00164,84
0.00166,111
0.00168,114
0.0017,168
0.00172,113
0.00174,159
0.00176,97
0.00178,123
0.0018,86
0.00182,101
0.00184,77
0.00186,101
0.00188,80
0.0019,97
0.00192,69
0.00194,80
0.00196,56
0.00198,63
0.002,45
0.00202,49
0.00204,43
0.00206,47
0.00208,38
0.0021,33
0.00212,28
0.00214,34
0.00216,27
0.00218,43
0.0022,35
0.00222,44
0.00224,35
0.00226,50
0.00228,20
0.0023,69
0.00232,45
0.00234,61
0.00236,27
0.00238,39
0.0024,34
0.00242,47
0.00244,42
0.00246,33
0.00248,33
0.0025,38
0.00252,30
0.00254,28
0.00256,32
0.00258,23
0.0026,16
0.00262,26
0.00264,13
0.00266,20
0.00268,9
0.0027,19
0.00272,22
0.00274,25
0.00276,17
0.00278,25
0.0028,20
0.00282,26
0.00284,16
0.00286,28
0.00288,14
0.0029,22
0.00292,16
0.00294,18
0.00296,22
0.00298,17
0.003,7
0.00302,19
0.00304,20
0.00306,12
0.00308,19
0.0031,12
0.00312,11
0.00314,10
0.00316,13
0.00318,19
0.0032,8
0.00322,9
0.00324,6
0.00326,4
0.00328,5
0.0033,12
0.00332,10
0.00334,11
0.00336,6
0.00338,10
0.0034,4
0.00342,7
0.00344,6
0.00346,8
0.00348,9
0.0035,6
0.00352,9
0.00354,1
0.00356,10
0.00358,12
0.0036,11
0.00362,8
0.00364,4
0.00366,7
0.00368,3
0.0037,3
0.00372,13
0.00374,8
0.00376,5
0.00378,2
0.0038,9
0.00382,3
0.00384,4
0.00386,0
0.00388,7
0.0039,10
0.00392,6
0.00394,4
0.00396,5
0.00398,6
0.004,4
0.00402,4
0.00404,5
0.00406,4
0.00408,3
0.0041,2
0.00412,4
0.00414,4
0.00416,3
0.00418,5
0.0042,5
0.00422,3
0.00424,2
0.00426,2
0.00428,3
0.0043,3
0.00432,4
0.00434,2
0.00436,1
0.00438,2
0.0044,2
0.00442,0
0.00444,0
0.00446,2
0.00448,0
0.0045,1
0.00452,0
0.00454,3
0.00456,3
0.00458,1
0.0046,2
0.00462,5
0.00464,1
0.00466,3
0.00468,1
0.0047,2
0.00472,7
0.00474,0
0.00476,0
0.00478,1
0.0048,4
0.00482,1
0.00484,2
0.00486,2
0.00488,3
0.0049,0
0.00492,2
0.00494,0
0.00496,3
0.00498,2
0.005,0
0.00502,2
0.00504,3
0.00506,1
0.00508,0
0.0051,1
0.00512,1
0.00514,1
0.00516,1
0.00518,1
0.0052,1
0.00522,3
0.00524,2
0.00526,0
0.00528,0
0.0053,0
0.00532,1
0.00534,1
0.00536,0
0.00538,2
0.0054,4
0.00542,1
0.00544,2
0.00546,2
0.00548,0
0.0055,1
0.00552,0
0.00554,0
0.00556,0
0.00558,1
0.0056,0
0.00562,2
0.00564,0
0.00566,1
0.00568,0
0.0057,1
0.00572,1
0.00574,0
0.00576,1
0.00578,0
0.0058,0
0.00582,0
0.00584,0
0.00586,0
0.00588,1
0.0059,0
0.00592,1
0.00594,0
0.00596,1
0.00598,0
0.006,2
0.00602,0
0.00604,0
0.00606,0
0.00608,0
0.0061,0
0.00612,1
0.00614,0
0.00616,0
0.00618,0
0.0062,2
0.00622,1
0.00624,0
0.00626,0
0.00628,0
0.0063,0
0.00632,0
0.00634,0
0.00636,0
0.00638,1
0.0064,0
0.00642,0
0.00644,0
0.00646,0
0.00648,0
0.0065,0
0.00652,0
0.00654,0
0.00656,1
0.00658,0
0.0066,0
0.00662,0
0.00664,0
0.00666,1
0.00668,1
0.0067,0
0.00672,0
0.00674,0
0.00676,0
0.00678,0
0.0068,0
0.00682,0
0.00684,0
0.00686,0
0.00688,0
0.0069,0
0.00692,0
0.00694,0
0.00696,0
0.00698,0
0.007,0
0.00702,0
0.00704,0
0.00706,0
0.00708,0
0.0071,0
0.00712,0
0.00714,1
0.00716,0
0.00718,0
0.0072,0
0.00722,0
0.00724,0
0.00726,0
0.00728,0
0.0073,0
0.00732,0
0.00734,0
0.00736,0
0.00738,0
0.0074,0
0.00742,0
0.00744,0
0.00746,0
0.00748,0
0.0075,0
0.00752,0
0.00754,0
0.00756,0
0.00758,1
0.0076,0
0.00762,0
