LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,431
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 12:52:28,0                 
Time,Ampl
-0.00041,0
-0.0004,0
-0.00039,0
-0.00038,0
-0.00037,0
-0.00036,0
-0.00035,0
-0.00034,0
-0.00033,0
-0.00032,0
-0.00031,0
-0.0003,0
-0.00029,0
-0.00028,0
-0.00027,0
-0.00026,0
-0.00025,0
-0.00024,0
-0.00023,0
-0.00022,0
-0.00021,0
-0.0002,0
-0.00019,0
-0.00018,0
-0.00017,0
-0.00016,0
-0.00015,0
-0.00014,0
-0.00013,0
-0.00012,0
-0.00011,0
-0.0001,0
-9e-005,0
-8e-005,0
-7e-005,0
-6e-005,0
-5e-005,0
-4e-005,0
-3e-005,0
-2e-005,0
-1e-005,0
6.268e-019,0
1e-005,0
2e-005,0
3e-005,0
4e-005,0
5e-005,0
6e-005,0
7e-005,0
8e-005,0
9e-005,0
0.0001,0
0.00011,0
0.00012,0
0.00013,0
0.00014,0
0.00015,0
0.00016,0
0.00017,0
0.00018,0
0.00019,0
0.0002,0
0.00021,0
0.00022,0
0.00023,0
0.00024,0
0.00025,0
0.00026,0
0.00027,0
0.00028,0
0.00029,0
0.0003,0
0.00031,0
0.00032,1
0.00033,1
0.00034,8
0.00035,14
0.00036,21
0.00037,31
0.00038,66
0.00039,74
0.0004,82
0.00041,120
0.00042,258
0.00043,251
0.00044,290
0.00045,408
0.00046,739
0.00047,552
0.00048,697
0.00049,804
0.0005,1430
0.00051,984
0.00052,948
0.00053,1073
0.00054,1520
0.00055,977
0.00056,903
0.00057,850
0.00058,1088
0.00059,614
0.0006,514
0.00061,395
0.00062,518
0.00063,301
0.00064,270
0.00065,227
0.00066,328
0.00067,222
0.00068,214
0.00069,173
0.0007,246
0.00071,199
0.00072,162
0.00073,166
0.00074,200
0.00075,134
0.00076,147
0.00077,115
0.00078,145
0.00079,91
0.0008,80
0.00081,83
0.00082,103
0.00083,66
0.00084,50
0.00085,40
0.00086,60
0.00087,20
0.00088,36
0.00089,28
0.0009,37
0.00091,38
0.00092,30
0.00093,35
0.00094,42
0.00095,44
0.00096,46
0.00097,58
0.00098,104
0.00099,97
0.001,104
0.00101,91
0.00102,159
0.00103,146
0.00104,160
0.00105,193
0.00106,289
0.00107,184
0.00108,225
0.00109,198
0.0011,314
0.00111,239
0.00112,195
0.00113,206
0.00114,256
0.00115,139
0.00116,151
0.00117,125
0.00118,183
0.00119,131
0.0012,112
0.00121,95
0.00122,157
0.00123,96
0.00124,98
0.00125,94
0.00126,124
0.00127,91
0.00128,75
0.00129,72
0.0013,117
0.00131,74
0.00132,62
0.00133,74
0.00134,86
0.00135,56
0.00136,57
0.00137,45
0.00138,47
