LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,500
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 12:36:07,0                 
Time,Ampl
-0.0003,0
-0.000296,0
-0.000292,0
-0.000288,0
-0.000284,0
-0.00028,0
-0.000276,0
-0.000272,0
-0.000268,0
-0.000264,0
-0.00026,0
-0.000256,0
-0.000252,0
-0.000248,0
-0.000244,0
-0.00024,0
-0.000236,0
-0.000232,0
-0.000228,0
-0.000224,0
-0.00022,0
-0.000216,0
-0.000212,0
-0.000208,0
-0.000204,0
-0.0002,0
-0.000196,0
-0.000192,0
-0.000188,0
-0.000184,0
-0.00018,0
-0.000176,0
-0.000172,0
-0.000168,0
-0.000164,0
-0.00016,0
-0.000156,0
-0.000152,0
-0.000148,0
-0.000144,0
-0.00014,0
-0.000136,0
-0.000132,0
-0.000128,0
-0.000124,0
-0.00012,0
-0.000116,0
-0.000112,0
-0.000108,0
-0.000104,0
-0.0001,0
-9.6e-005,0
-9.2e-005,0
-8.8e-005,0
-8.4e-005,0
-8e-005,0
-7.6e-005,0
-7.2e-005,0
-6.8e-005,0
-6.4e-005,0
-6e-005,0
-5.6e-005,0
-5.2e-005,0
-4.8e-005,0
-4.4e-005,0
-4e-005,0
-3.6e-005,0
-3.2e-005,0
-2.8e-005,0
-2.4e-005,0
-2e-005,0
-1.6e-005,0
-1.2e-005,0
-8e-006,0
-4e-006,0
-5.624e-019,0
4e-006,0
8e-006,0
1.2e-005,0
1.6e-005,0
2e-005,0
2.4e-005,0
2.8e-005,0
3.2e-005,0
3.6e-005,0
4e-005,0
4.4e-005,0
4.8e-005,0
5.2e-005,0
5.6e-005,0
6e-005,0
6.4e-005,0
6.8e-005,0
7.2e-005,0
7.6e-005,0
8e-005,0
8.4e-005,0
8.8e-005,0
9.2e-005,0
9.6e-005,0
0.0001,0
0.000104,0
0.000108,0
0.000112,0
0.000116,0
0.00012,0
0.000124,0
0.000128,0
0.000132,0
0.000136,0
0.00014,0
0.000144,0
0.000148,0
0.000152,0
0.000156,0
0.00016,0
0.000164,0
0.000168,0
0.000172,0
0.000176,0
0.00018,0
0.000184,0
0.000188,0
0.000192,0
0.000196,0
0.0002,0
0.000204,0
0.000208,0
0.000212,0
0.000216,0
0.00022,1
0.000224,0
0.000228,0
0.000232,0
0.000236,0
0.00024,1
0.000244,0
0.000248,1
0.000252,1
0.000256,0
0.00026,3
0.000264,1
0.000268,7
0.000272,5
0.000276,10
0.00028,18
0.000284,21
0.000288,42
0.000292,36
0.000296,0
0.0003,61
0.000304,102
0.000308,172
0.000312,207
0.000316,267
0.00032,355
0.000324,462
0.000328,553
0.000332,662
0.000336,0
0.00034,743
0.000344,891
0.000348,829
0.000352,937
0.000356,901
0.00036,916
0.000364,954
0.000368,939
0.000372,982
0.000376,0
0.00038,905
0.000384,851
0.000388,738
0.000392,630
0.000396,691
0.0004,630
0.000404,664
0.000408,625
0.000412,531
0.000416,0
0.00042,530
0.000424,430
0.000428,417
0.000432,435
0.000436,377
0.00044,331
0.000444,297
0.000448,317
0.000452,225
0.000456,0
0.00046,221
0.000464,202
0.000468,201
0.000472,186
0.000476,148
0.00048,148
0.000484,136
0.000488,142
0.000492,145
0.000496,0
0.0005,113
0.000504,112
0.000508,92
0.000512,95
0.000516,88
0.00052,79
0.000524,74
