LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,500
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 13:54:36,0                 
Time,Ampl
-0.00058,0
-0.00057,0
-0.00056,0
-0.00055,0
-0.00054,0
-0.00053,0
-0.00052,0
-0.00051,0
-0.0005,0
-0.00049,0
-0.00048,0
-0.00047,0
-0.00046,0
-0.00045,0
-0.00044,0
-0.00043,0
-0.00042,0
-0.00041,0
-0.0004,0
-0.00039,0
-0.00038,0
-0.00037,0
-0.00036,0
-0.00035,0
-0.00034,0
-0.00033,0
-0.00032,0
-0.00031,0
-0.0003,0
-0.00029,0
-0.00028,0
-0.00027,0
-0.00026,0
-0.00025,0
-0.00024,0
-0.00023,0
-0.00022,0
-0.00021,0
-0.0002,0
-0.00019,0
-0.00018,0
-0.00017,0
-0.00016,0
-0.00015,0
-0.00014,0
-0.00013,0
-0.00012,0
-0.00011,0
-0.0001,0
-9e-005,0
-8e-005,0
-7e-005,0
-6e-005,0
-5e-005,0
-4e-005,0
-3e-005,0
-2e-005,0
-1e-005,0
1.06e-018,0
1e-005,0
2e-005,0
3e-005,0
4e-005,0
5e-005,0
6e-005,0
7e-005,0
8e-005,0
9e-005,0
0.0001,0
0.00011,0
0.00012,0
0.00013,0
0.00014,0
0.00015,0
0.00016,0
0.00017,0
0.00018,0
0.00019,0
0.0002,0
0.00021,0
0.00022,0
0.00023,0
0.00024,0
0.00025,0
0.00026,0
0.00027,0
0.00028,0
0.00029,0
0.0003,0
0.00031,0
0.00032,0
0.00033,0
0.00034,2
0.00035,14
0.00036,55
0.00037,83
0.00038,217
0.00039,286
0.0004,655
0.00041,518
0.00042,701
0.00043,753
0.00044,1314
0.00045,1032
0.00046,1120
0.00047,1277
0.00048,1775
0.00049,1255
0.0005,1152
0.00051,958
0.00052,1143
0.00053,708
0.00054,651
0.00055,546
0.00056,718
0.00057,388
0.00058,344
0.00059,275
0.0006,357
0.00061,202
0.00062,179
0.00063,189
0.00064,267
0.00065,173
0.00066,161
0.00067,179
0.00068,211
0.00069,128
0.0007,109
0.00071,94
0.00072,134
0.00073,63
0.00074,62
0.00075,60
0.00076,81
0.00077,45
0.00078,36
0.00079,35
0.0008,42
0.00081,31
0.00082,34
0.00083,36
0.00084,28
0.00085,33
0.00086,27
0.00087,49
0.00088,84
0.00089,52
0.0009,62
0.00091,80
0.00092,143
0.00093,99
0.00094,115
0.00095,143
0.00096,250
0.00097,203
0.00098,201
0.00099,232
0.001,374
0.00101,251
0.00102,232
0.00103,216
0.00104,341
0.00105,232
0.00106,197
0.00107,188
0.00108,260
0.00109,144
0.0011,139
0.00111,141
0.00112,171
0.00113,126
0.00114,109
0.00115,84
0.00116,139
0.00117,81
0.00118,83
0.00119,71
0.0012,95
